Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução,Algoritmo,Semente,Temperatura,Resfriamento
81,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.385089635848999,Algoritmo Genético,14,,
42,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.4047396183013916,Algoritmo Genético,14,,
37,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.4781298637390136,Algoritmo Genético,14,,
47,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.5274479389190674,Algoritmo Genético,14,,
53,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.8816206455230713,Algoritmo Genético,14,,
84,58.9677419393698,[1 7 3 8 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.2824416160583496,Algoritmo Genético,14,,
63,58.9677419393698,[1 7 3 8 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.3424215316772461,Algoritmo Genético,14,,
28,58.9677419393698,[1 7 3 8 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.3936100006103515,Algoritmo Genético,14,,
6,58.9677419393698,[1 7 3 8 9 2 6 5 0 4],500.0,50.0,0.2,40.0,0.4084987640380859,Algoritmo Genético,14,,
59,62.682206983659086,[7 1 4 9 8 3 2 5 0 6],500.0,50.0,0.2,40.0,0.2786638736724853,Algoritmo Genético,14,,
3,62.682206983659086,[7 1 4 9 8 3 2 5 0 6],500.0,50.0,0.2,40.0,0.2994012832641601,Algoritmo Genético,14,,
43,62.682206983659086,[7 1 4 9 8 3 2 5 0 6],500.0,50.0,0.2,40.0,0.3132224082946777,Algoritmo Genético,14,,
58,62.682206983659086,[7 1 4 9 8 3 2 5 0 6],500.0,50.0,0.2,40.0,0.443713903427124,Algoritmo Genético,14,,
75,62.78256766099062,[4 1 7 3 8 9 2 5 0 6],500.0,50.0,0.2,40.0,0.3253121376037597,Algoritmo Genético,14,,
34,63.17992076767302,[6 0 5 2 3 7 1 8 9 4],500.0,50.0,0.2,40.0,0.7172319889068604,Algoritmo Genético,14,,
11,63.29007231520567,[1 8 9 4 0 5 6 2 3 7],500.0,50.0,0.2,40.0,0.2669289112091064,Algoritmo Genético,14,,
9,63.50558162934578,[7 1 4 0 5 6 2 9 8 3],500.0,50.0,0.2,40.0,0.324617862701416,Algoritmo Genético,14,,
89,63.50558162934578,[7 1 4 0 5 6 2 9 8 3],500.0,50.0,0.2,40.0,0.4692842960357666,Algoritmo Genético,14,,
48,63.50558162934578,[7 1 4 0 5 6 2 9 8 3],500.0,50.0,0.2,40.0,0.5846786499023438,Algoritmo Genético,14,,
51,64.14224054698659,[6 2 9 4 0 5 3 8 1 7],500.0,50.0,0.2,40.0,0.7143425941467285,Algoritmo Genético,14,,
35,64.89019556228854,[6 2 3 7 1 8 9 5 0 4],500.0,50.0,0.2,40.0,0.7629759311676025,Algoritmo Genético,14,,
26,65.2702071697249,[1 8 2 6 5 0 4 9 3 7],500.0,50.0,0.2,40.0,0.4346599578857422,Algoritmo Genético,14,,
64,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.3206229209899902,Algoritmo Genético,87,,
40,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.3582708835601806,Algoritmo Genético,87,,
63,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.3780725002288818,Algoritmo Genético,87,,
5,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.3866596221923828,Algoritmo Genético,87,,
3,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.4157929420471191,Algoritmo Genético,87,,
82,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.4272551536560058,Algoritmo Genético,87,,
76,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.4411747455596924,Algoritmo Genético,87,,
19,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.4941096305847168,Algoritmo Genético,87,,
17,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.5140528678894043,Algoritmo Genético,87,,
92,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.6012570858001709,Algoritmo Genético,87,,
77,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.6161177158355713,Algoritmo Genético,87,,
91,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.6189196109771729,Algoritmo Genético,87,,
42,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.6558077335357666,Algoritmo Genético,87,,
67,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.730940580368042,Algoritmo Genético,87,,
51,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.7615823745727539,Algoritmo Genético,87,,
93,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.8869724273681641,Algoritmo Genético,87,,
31,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.8986077308654785,Algoritmo Genético,87,,
45,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.94968581199646,Algoritmo Genético,87,,
74,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,1.1216740608215332,Algoritmo Genético,87,,
22,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,1.814544677734375,Algoritmo Genético,87,,
94,62.27941050341416,[1 3 9 4 8 7 2 0 5 6],500.0,50.0,0.2,40.0,1.881553173065185,Algoritmo Genético,87,,
11,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.3842735290527344,Algoritmo Genético,87,,
30,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.5654740333557129,Algoritmo Genético,87,,
85,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],500.0,50.0,0.2,40.0,0.5788528919219971,Algoritmo Genético,87,,
61,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3317060470581054,Algoritmo Genético,87,,
66,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3400905132293701,Algoritmo Genético,87,,
0,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3524041175842285,Algoritmo Genético,87,,
7,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3608102798461914,Algoritmo Genético,87,,
38,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3770008087158203,Algoritmo Genético,87,,
39,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.4414877891540527,Algoritmo Genético,87,,
28,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.5026426315307617,Algoritmo Genético,87,,
52,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.5091631412506104,Algoritmo Genético,87,,
18,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.6058831214904785,Algoritmo Genético,87,,
88,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.7960643768310547,Algoritmo Genético,87,,
9,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.8869795799255371,Algoritmo Genético,87,,
10,64.703920592455,[7 2 8 4 9 3 1 0 5 6],500.0,50.0,0.2,40.0,0.6397171020507812,Algoritmo Genético,87,,
58,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.2885663509368896,Algoritmo Genético,87,,
65,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3123316764831543,Algoritmo Genético,87,,
12,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3125550746917724,Algoritmo Genético,87,,
27,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3321926593780517,Algoritmo Genético,87,,
50,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3398563861846924,Algoritmo Genético,87,,
14,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3419363498687744,Algoritmo Genético,87,,
8,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3493115901947021,Algoritmo Genético,87,,
84,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3665308952331543,Algoritmo Genético,87,,
69,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3738133907318115,Algoritmo Genético,87,,
89,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3903768062591553,Algoritmo Genético,87,,
57,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.3947203159332275,Algoritmo Genético,87,,
37,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4003934860229492,Algoritmo Genético,87,,
32,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4109537601470947,Algoritmo Genético,87,,
60,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4161667823791504,Algoritmo Genético,87,,
56,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4519040584564209,Algoritmo Genético,87,,
53,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4581367969512939,Algoritmo Genético,87,,
2,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4872064590454101,Algoritmo Genético,87,,
24,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.4919159412384033,Algoritmo Genético,87,,
35,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.521634578704834,Algoritmo Genético,87,,
68,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.5564358234405518,Algoritmo Genético,87,,
41,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.5996494293212891,Algoritmo Genético,87,,
80,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.6118745803833008,Algoritmo Genético,87,,
75,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.6154038906097412,Algoritmo Genético,87,,
95,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.62465500831604,Algoritmo Genético,87,,
36,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.6247086524963379,Algoritmo Genético,87,,
20,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.7948336601257324,Algoritmo Genético,87,,
97,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.8035845756530762,Algoritmo Genético,87,,
90,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,0.8183777332305908,Algoritmo Genético,87,,
71,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,1.052699327468872,Algoritmo Genético,87,,
23,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],500.0,50.0,0.2,40.0,1.607622146606445,Algoritmo Genético,87,,
16,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.3373301029205322,Algoritmo Genético,87,,
13,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.3389782905578613,Algoritmo Genético,87,,
6,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.3573246002197265,Algoritmo Genético,87,,
1,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.3787169456481933,Algoritmo Genético,87,,
62,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.403416633605957,Algoritmo Genético,87,,
79,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.448772668838501,Algoritmo Genético,87,,
4,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.4543142318725586,Algoritmo Genético,87,,
47,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.4746012687683105,Algoritmo Genético,87,,
33,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.504530668258667,Algoritmo Genético,87,,
26,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.5638110637664795,Algoritmo Genético,87,,
98,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.6010622978210449,Algoritmo Genético,87,,
46,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.6229770183563232,Algoritmo Genético,87,,
25,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,0.8519785404205322,Algoritmo Genético,87,,
73,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,1.075352430343628,Algoritmo Genético,87,,
43,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],500.0,50.0,0.2,40.0,1.5487875938415527,Algoritmo Genético,87,,
99,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.4085152149200439,Algoritmo Genético,87,,
96,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.4257464408874511,Algoritmo Genético,87,,
15,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.4396495819091797,Algoritmo Genético,87,,
81,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.4760308265686035,Algoritmo Genético,87,,
83,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.5194449424743652,Algoritmo Genético,87,,
44,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],500.0,50.0,0.2,40.0,0.7969200611114502,Algoritmo Genético,87,,
86,69.73795785829189,[9 8 7 2 4 3 1 0 5 6],500.0,50.0,0.2,40.0,0.3174548149108886,Algoritmo Genético,87,,
21,69.73795785829189,[9 8 7 2 4 3 1 0 5 6],500.0,50.0,0.2,40.0,0.914541482925415,Algoritmo Genético,87,,
59,71.6298886356218,[8 4 9 3 1 0 5 6 2 7],500.0,50.0,0.2,40.0,0.3779458999633789,Algoritmo Genético,87,,
49,71.6298886356218,[8 4 9 3 1 0 5 6 2 7],500.0,50.0,0.2,40.0,0.4206042289733886,Algoritmo Genético,87,,
34,72.32370499368955,[1 3 9 8 4 0 5 6 2 7],500.0,50.0,0.2,40.0,0.5435771942138672,Algoritmo Genético,87,,
87,72.32370499368955,[1 3 9 8 4 0 5 6 2 7],500.0,50.0,0.2,40.0,0.6594831943511963,Algoritmo Genético,87,,
55,72.32370499368955,[1 3 9 8 4 0 5 6 2 7],500.0,50.0,0.2,40.0,0.8831381797790527,Algoritmo Genético,87,,
29,72.32370499368955,[1 3 9 8 4 0 5 6 2 7],500.0,50.0,0.2,40.0,0.9053268432617188,Algoritmo Genético,87,,
72,73.60985423898977,[7 2 6 5 0 1 3 9 4 8],500.0,50.0,0.2,40.0,0.7325654029846191,Algoritmo Genético,87,,
78,73.96662035031011,[4 9 3 1 0 5 6 2 7 8],500.0,50.0,0.2,40.0,0.3777244091033935,Algoritmo Genético,87,,
48,74.63885292527979,[8 7 2 6 5 0 4 9 3 1],500.0,50.0,0.2,40.0,0.5002255439758301,Algoritmo Genético,87,,
70,74.63885292527979,[8 7 2 6 5 0 4 9 3 1],500.0,50.0,0.2,40.0,0.5697104930877686,Algoritmo Genético,87,,
54,75.81862008123318,[4 8 7 2 6 5 0 1 3 9],500.0,50.0,0.2,40.0,0.2548320293426513,Algoritmo Genético,87,,
8,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.3426384925842285,Algoritmo Genético,52,,
54,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.3584449291229248,Algoritmo Genético,52,,
57,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.3679111003875732,Algoritmo Genético,52,,
11,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.3745505809783935,Algoritmo Genético,52,,
15,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.393359899520874,Algoritmo Genético,52,,
40,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.4503703117370605,Algoritmo Genético,52,,
94,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.4583902359008789,Algoritmo Genético,52,,
76,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.4823696613311767,Algoritmo Genético,52,,
63,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.4887223243713379,Algoritmo Genético,52,,
91,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.5031132698059082,Algoritmo Genético,52,,
51,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.506742000579834,Algoritmo Genético,52,,
81,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.5360214710235596,Algoritmo Genético,52,,
47,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.5464520454406738,Algoritmo Genético,52,,
95,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.7051293849945068,Algoritmo Genético,52,,
36,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.8091177940368652,Algoritmo Genético,52,,
70,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500.0,50.0,0.2,40.0,0.9860780239105223,Algoritmo Genético,52,,
80,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.3184084892272949,Algoritmo Genético,52,,
60,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.4878573417663574,Algoritmo Genético,52,,
28,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.5075325965881348,Algoritmo Genético,52,,
29,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.6631717681884766,Algoritmo Genético,52,,
75,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.830620288848877,Algoritmo Genético,52,,
0,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,0.9473528861999512,Algoritmo Genético,52,,
50,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,1.3079917430877686,Algoritmo Genético,52,,
1,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,1.369551420211792,Algoritmo Genético,52,,
25,55.93225875138808,[1 5 3 0 6 7 8 4 2 9],500.0,50.0,0.2,40.0,1.7911803722381592,Algoritmo Genético,52,,
19,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500.0,50.0,0.2,40.0,0.3349153995513916,Algoritmo Genético,52,,
43,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500.0,50.0,0.2,40.0,0.3844025135040283,Algoritmo Genético,52,,
56,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500.0,50.0,0.2,40.0,0.3972089290618896,Algoritmo Genético,52,,
32,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500.0,50.0,0.2,40.0,0.4248127937316894,Algoritmo Genético,52,,
