Execução,Distância Total,Melhor Caminho,Tempo de Execução,Algoritmo,Semente,Iterações,Temperatura,Resfriamento,Tentativas,População,Mutação
8,375.0081977675104,"[36 57 65 90 45 68 86  9 67 79 88  5 77 71 62  6 12 55 64 54 46 25 37 92
 75 66 87 38 76 73 83 72 42 16 58 20  0 10 50 26 47 15 78 39 82  4 49 80
 53 60 17 96 30 70 81 19 27 32 97 85  7 33 44 91 63 84 93 94  3 89 18 14
 13 56 35 22 34 48 69 21 43 74  1 11 99  8 51 31 95 24  2 29 40 59 52 28
 98 41 61 23]",23.833362102508545,Hill Climb,14,,,,,,
70,376.2522874657043,"[12 55 15 78 57 36 16  6 60 17 96 30 70 42 51 11 98 85  7 13 25 37 92 75
 27 19 31 76 79  5 77 10 26 65 87 66 82 39 47 58 20  0 67  9 86 35 56 14
 49  2 40 73 72 83 53 80 95 71 62 50 88 81 93 84 94 45 68 99 69 28 18 89
  3 48 34 32 97 22  8 64 90 38  4 46 54 23 41 61 74  1 43 21 63 91 44 33
 52 59 24 29]",20.198859214782715,Hill Climb,14,,,,,,
49,376.3136230162695,"[36 57 78 33 44  7 13 14 56 18 28 35 97 32 22 34 86  9 51 45 81 94 84  8
 48 68  4 38 87 82 39 15 47 65 64 88 99 69 85 91 63 23 46 75 27 93 19 62
  6 60 17 96 30 70 42 73 40 95 24  2 49 11 41 61 54 25 37 92 66 90 50 72
 83 53 80 59 79 67  3 98  1 74 43 21 89 52 29 31 76 71 77  5 10 26  0 20
 16 58 55 12]",22.332749128341675,Hill Climb,14,,,,,,
23,377.5254903863221,"[85 14 18 28 97 63 98 22 32 35 56 13  7 33 44 91 89  3 51 31 67 10  0 20
 25 37 92 75 39 36 57 78 15 69 21 43 74  1 11 99 40 73 83 72 42 12 55 16
 94 84 41 61 23 54 46 90 47 58 81 19 27 93 77 62  6 60 17 96 30 70 24 29
 95 76 79 88 64 65 26 50  5 71  2 49  9 86 45  4 66 82 87 38 68  8 48 34
 52 59 80 53]",21.51418948173523,Hill Climb,14,,,,,,
27,378.03980121169633,"[54 61 41 11 98 34 48 86  9 79 71 62  6 60 17 96 30 70 12 57 36 39 66  4
 26  0 20 65 82 87 38 76 95 24  2 49  1 74 23 46 25 37 92 75 27 93 19 81
  8 32 22  3 51 31 67 64 90 45 68 69 99 88 10 55 78 15 47 58 16 77 94 84
 43 21 63 50  5 42 72 83 53 80 18 28 35 97 85 91  7 56 89 29 40 73 59 52
 14 13 33 44]",22.348830223083496,Hill Climb,14,,,,,,
99,378.78084344907785,"[97 35 13 56 28 18 14  7 85 21 41 61 74 91 44 33 89 29 95 12 55 58 16 20
  0 47 57 36 39 78 15 26 10  5 77 71 42 72 83 73 40 24 51 19 25 37 92 75
 27 81 68  8 48 34  3 80 53 63 98 69 76 62  6 60 17 96 30 70 82 66 87 38
  4 45 22 32 52 59  2 49  9 86 94 84 93 46 54 23  1 43 11 99 31 79 67 50
 88 64 90 65]",17.682560920715332,Hill Climb,14,,,,,,
53,379.2266907690405,"[55 58 16 67 89 18 28 34 48 54 25 92 27 19 81 76 79 88 47 15 78 39 82 66
 87 38  4 90 65 64 26 10 50  5 77 71 62 20  0  9 86 68 45 31 95 24  2 49
  3 35 56 14 60  6 12 57 36 75 37 46 93 84 94 51 40 73 72 17 96 30 70 42
 29 13  7 85 97 32 22 52 59 80 53 83  8 99 23 61 41 11 69 98  1 74 43 21
 63 91 44 33]",23.10766220092773,Hill Climb,14,,,,,,
33,379.3651774163759,"[36 57 39 82 78 15 55 47 65 90 93 46 23 61 41 52 59 60  6 12 77  5 10 26
  0 20 58 16 62 42 83 53 80 95 76 31 51 22 32 34 48  8 86  3 14 13  7 33
 44 85 91 63 69 99 68 45 88 71 70 30 96 17 72 73 40 24 29  2 49 81 19 27
 94 97 35 56 28 18 89  9  4 38 66 87 64 50 79 67 75 92 37 25 74  1 43 21
 98 11 84 54]",23.31996989250183,Hill Climb,14,,,,,,
4,379.5383850671227,"[54 93 27 19 66 87 82  0 20 16 72 83 52 18 28 14 85 91 44 33  7 13 56 35
 98 21 43  1 74 63 97 32 22 34 75 92 37 25 46 84 99 69 89 59 17 96 71  5
 50 88 64 26 10 79 76 95 42 70 30 60  6 31 51  3 48  8 86 45 81 94 68  9
 49 53 80 73 40 24 29  2 67 58 55 57 36 39 78 15 47 65 90 38  4 23 61 41
 11 77 62 12]",20.27590298652649,Hill Climb,14,,,,,,
47,379.87725949201285,"[74 21 89 52 59 80 53 58 47 65 90 34 22 13 33 44  7 35 97 32 85 91 63 98
 84 46 93 94  2 40 60 17 96 30 70 42  9 86 45 68  4 38 39 36 57 78 15 55
 12  6 62 16 20  0 10 79 76 95 24 29 28 56 14 18 83 72 73 49 48  8 37 92
 75 66 82 87 27 19 81 88 50  5 71 77 26 64 67 31 51  3 69 99 11 43  1 41
 61 23 54 25]",23.18806505203247,Hill Climb,14,,,,,,
